SEM,Sample,Group,No,Event,Date,PM2.5,OC,EC,WSOC,WISOC,HULIS-C,Non HULIS-C,OC/EC,WSOC/OC,HULIS-C/WSOC,SO42-,NO3-,NH4+,CO,O3,SO2,Noy,NO,NO2,Nox,Temp,RH,Levoglucosan
O,Seoul_1,Seoul,1,Non-event,2020-12-15,12.261,4.34,0.41,1.07,3.27,1.02,0.05,10.59,0.25,0.95,1.02,1.01,0.55,255.38,20.7,1.08,12.55,2.63,,,-8.3,43,0.00012
O,Seoul_8,Seoul,8,Event,2020-12-22,40.783,6.74,0.49,2.12,4.62,2,0.12,13.76,0.31,0.94,3.18,13.83,5.91,469.22,12.6,1.39,41.52,14.33,,,2,67.6,0.0001232
O,Seoul_9,Seoul,9,Event,2020-12-23,61.261,9.48,0.5,4.66,4.82,3.29,1.37,18.96,0.49,0.71,5.13,22.46,9.67,518.12,17.52,1.26,48.2,7.55,,,4.5,76.6,0.0001299
O,Seoul_12,Seoul,12,Event,2020-12-26,45.391,7.07,0.52,4.36,2.71,3.25,1.11,13.6,0.62,0.75,3.27,14.99,6.26,511.28,19.32,1.49,22.97,10.36,,,2.2,65.8,0.0001461
O,Seoul_13,Seoul,13,Event,2020-12-27,40.435,6.17,0.3,3.94,2.23,3.03,0.91,20.57,0.64,0.77,3.17,11.15,5.13,403.49,13.24,0.39,17.04,5.19,,,5.8,62.9,0.0001182
O,Seoul_30,Seoul,30,Event,2021-01-13,39.391,8.52,0.87,5.35,3.17,3.22,2.13,9.79,0.63,0.6,2.91,7.55,2.95,471.96,10.94,0.97,29.55,8.38,,,2,80.3,0.0001578
O,Seosan_1,Seosan,1,Non-event,2020-12-15,13.217,2.76,0.26,1.33,1.43,1.27,0.06,10.62,0.48,0.95,1.59,1.81,0.91,290.08,29.56,1.72,8.46,2.63,,,-4,56.3,0.097492
O,Seosan_8,Seosan,8,Event,2020-12-22,55.13,11.7,0.53,5.64,6.06,4.81,0.83,22.08,0.48,0.85,4.75,5.42,3,522.41,20.9,1.42,27.75,4.28,,,1,75.3,0.613714
O,Seosan_9,Seosan,9,Event,2020-12-23,58.609,8.55,0.35,4.82,3.73,4.19,0.63,24.43,0.56,0.87,4.7,18.35,7.72,521.43,40.57,1.66,18.5,1.51,,,4.2,84.4,0.18776
O,Seosan_12,Seosan,12,Event,2020-12-26,47.739,9.74,0.54,5.69,4.05,4.5,1.19,18.04,0.58,0.79,2.9,11.04,4.84,584.68,26.5,2.02,20.51,1.75,,,2.2,77.1,0.561886
