Sample,Group,Date,Event,No,PM2.5,NO2,NO,NOx,SO2,CO,WD,WS,Temp,RH,Pressure,OC,EC,WSOC,HULIS-C,NO3-,SO42-,Na+,NH4+,K+,Ca2+,Mg2+,O3,Chl,Org,NOy,HONO_ppb,HNO3_ppb,levo
FRIEND_2nd_Beijing-1,Beijing,2021-06-01,,1,30.84375,14.68181818,1.620909091,16.31272727,0.08,386.0291667,73.04583333,0.158333333,19.3625,57,993.0875,5.29,0.19,3.04,1.81,,,,,,,,26.41416667,,,,,,16.34
FRIEND_2nd_Beijing-2,Beijing,2021-06-02,,2,16.68208333,7.817083333,0.799166667,8.61625,0.192,183.8,92.3625,0.208333333,21.725,25.91666667,992.2958333,2.65,0.33,1.46,0.7,,,,,,,,29.24958333,,,,,,7.09
FRIEND_2nd_Beijing-3,Beijing,2021-06-03,Non-event,3,7.684583333,12.24318182,1.450909091,13.69454545,0.219,153.4454545,87.35416667,0.2375,22.19166667,22.29166667,988.35,3.63,0.34,1.42,0.55,,,,,,,,19.79541667,,,,,,12.57
FRIEND_2nd_Beijing-4,Beijing,2021-06-04,Non-event,4,6.706666667,11.93625,1.507083333,13.44208333,0.222222222,181.7208333,74.94583333,0.2125,24.29166667,22,985.4208333,3.17,0.56,1.45,0.6,,,,,,,,23.75875,,,,,,6.79
FRIEND_2nd_Beijing-5,Beijing,2021-06-05,Non-event,5,8.696666667,14.09083333,3.287083333,17.37625,0.09375,166.9583333,86.2875,0.195833333,26.34166667,22.25,984.7875,2.8,0.19,1.66,0.93,,,,,,,,24.00041667,,,,,,3.81
FRIEND_2nd_Beijing-6,Beijing,2021-06-06,,6,19.11708333,12.485,0.947916667,13.43125,0.229473684,386.4458333,65.85416667,0.15,26.37916667,31.75,990.6625,4.23,0.3,2.71,1.89,,,,,,,,40.505,,,,,,8.72
FRIEND_2nd_Beijing-7,Beijing,2021-06-07,,7,32.21958333,16.62625,2.474583333,19.1,0.230588235,460.7,68.05,0.204166667,23.52083333,48.83333333,996.6125,4.29,0.23,2.99,1.68,7.948662857,4.0494,,3.500427857,,,,47.105,0.064348164,9.539065714,,,,6.77
FRIEND_2nd_Beijing-8,Beijing,2021-06-08,,8,36.48666667,17.64916667,2.042083333,19.69041667,0.148823529,384.2458333,70.3875,0.120833333,24.79583333,44.83333333,996.9416667,5.27,0.34,3.17,1.61,2.629974478,3.903492696,,1.967527261,,,,44.62458333,0.026428264,7.339542222,,,,9.98
FRIEND_2nd_Beijing-9,Beijing,2021-06-09,,9,26.95333333,12.37791667,1.02,13.39916667,0.19,335.4375,78.11666667,0.108333333,20.33333333,67.66666667,996.7666667,4.55,0.44,2.19,1.04,2.50447225,2.32616325,,1.131491404,,,,24.76,0.030746559,4.882957083,,,,11.27
FRIEND_2nd_Beijing-10,Beijing,2021-06-10,,10,18.82636364,13.24272727,1.446818182,14.68909091,0.284615385,224.1272727,86.48181818,0.154545455,26.18181818,37.63636364,992.2363636,4.72,0.31,2.6,1.41,0.418868583,1.078445792,,0.450684208,,,,28.58681818,0.008163022,5.155911667,,,,9.16
FRIEND_2nd_Beijing-11,Beijing,2021-06-11,,11,17.185,17.70583333,2.232083333,19.93333333,0.2865,240.5708333,91.85,0.158333333,27.60416667,31.45833333,993.8208333,4.65,0.45,2.97,1.71,0.597243333,1.073202458,,0.512033208,,,,37.22583333,0.015423777,6.629040417,,,,11.82
