grouplab,Event,Tot,Chainlike,Cluster,Irregular,Spherical,stat
UT,Event,1.66544295302013,2.61333333333333,1.8872037037037,1.62563793103448,1.17016129032258,Mean
UT,Non-event,2.09935,2.5,2.52015789473684,1.95758974358974,1.60559090909091,Mean
BJ,Event,1.572415,3.3275,1.83535593220339,1.51086538461538,0.774034482758621,Mean
BJ,Non-event,1.79288,2.12533333333333,2.39251515151515,1.40842222222222,0.725142857142857,Mean
SS,Event,1.59114666666667,2.57,1.93376470588235,1.44405172413793,0.65705,Mean
SS,Non-event,1.82429,2.06225,2.15148837209302,1.631225,0.907555555555555,Mean
SE,Event,1.534235,3.175,1.84390909090909,1.4521,0.740586206896552,Mean
SE,Non-event,1.57947,2.19485714285714,1.79072,1.27169230769231,0.86275,Mean
NT,Event,1.49932214765101,2.08,1.7845,1.46535051546392,0.655363636363636,Mean
NT,Non-event,1.58652,2.14333333333333,1.60927272727273,1.5712027027027,0.549,Mean
UT,Event,0.760533511020925,0.984330567780289,0.750718106017835,0.6726997635419,0.558387207158509,sd
UT,Non-event,0.940958058673084,,0.968775028309736,0.839552691614589,0.790066100856722,sd
BJ,Event,0.997629397546627,1.51124121171969,0.897619702183884,0.913139363003189,0.257347525281423,sd
BJ,Non-event,1.02076042440937,0.774715308693335,1.22606025854187,0.643383474258933,0.215567026368002,sd
SS,Event,0.903485156496192,1.39659108785165,0.784779484525907,0.871137639383904,0.196606600253292,sd
SS,Non-event,0.993080212767276,0.967131509745628,1.0047713639974,0.902524194931026,0.592337764943092,sd
SE,Event,0.867054124057562,1.17236228757724,0.722822559244736,0.862711704029604,0.29923730635942,sd
SE,Non-event,0.9149751716563,1.59173777452731,0.907222674553767,0.616308157449884,0.872601999768508,sd
NT,Event,0.758856761654576,1.03532603560424,0.873799183745049,0.6645424340796,0.197370855359789,sd
NT,Non-event,0.598078091587013,0.94732958010047,0.490404224115477,0.60286339532041,,sd
