Group,Season,Event,Morlab,Carbonaceous,Mineral,Fe-rich,N-rich,Transition metal,B-rich,Barite,Ca-rich,Calcium Sulfate,Cl-rich,Flourine compound,Fly ash,Quartz,Rare earth metal,S-rich,sulfate,NA
UT,Summer,Event,Spherical,0.67,14.67,3.33,-,-,-,-,-,-,-,-,1.33,-,-,0.67,-,-
UT,Summer,Event,Cluster,6,22,1.33,2.67,0.67,-,-,2.67,0.67,-,-,-,-,-,-,-,-
UT,Summer,Event,Chainlike,2.67,1.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,Summer,Event,Irregular,3.33,23.33,3.33,0.67,4.67,-,-,-,0.67,-,0.67,1.33,-,0.67,-,-,0.67
UT,Summer,Non-event,Spherical,1,14,3,-,-,-,-,-,-,-,1,3,-,-,-,-,-
UT,Summer,Non-event,Cluster,8,10,2,10,1,-,-,-,2,-,5,-,-,-,-,-,-
UT,Summer,Non-event,Chainlike,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,Summer,Non-event,Irregular,-,21,2,2,2,-,-,2,3,-,7,-,-,-,-,-,-
UT,Winter,Event,Spherical,15,5,2.33,-,-,-,-,1.33,0.33,-,-,-,-,-,-,-,-
UT,Winter,Event,Cluster,14.33,0.33,0.67,0.33,-,-,-,-,-,-,-,0.33,-,-,-,0.33,-
UT,Winter,Event,Chainlike,2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,Winter,Event,Irregular,43.33,1.67,4.33,4.67,1.67,-,-,-,-,0.33,0.33,-,-,-,0.67,-,-
UT,Winter,Non-event,Spherical,1.33,9.33,2.67,0.67,-,-,-,-,-,-,-,3.33,-,-,-,-,-
UT,Winter,Non-event,Cluster,17.33,2,-,1.33,-,-,-,-,-,-,-,-,-,-,0.67,0.67,-
UT,Winter,Non-event,Chainlike,4,-,-,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,Winter,Non-event,Irregular,15.33,24.67,2,2,3.33,0.67,-,-,4,1.33,2,0.67,-,-,-,-,-
BJ,Summer,Event,Spherical,0.5,1,10,2,1,-,-,-,-,-,-,-,-,-,-,-,-
BJ,Summer,Event,Cluster,12,4.5,2,5.5,-,-,-,-,1.5,-,-,2,-,-,-,-,2
BJ,Summer,Event,Chainlike,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
BJ,Summer,Event,Irregular,0.5,17,16.5,10,3,-,-,-,3,-,0.5,1,-,-,-,-,0.5
BJ,Summer,Non-event,Spherical,-,1,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
BJ,Summer,Non-event,Cluster,9,9,2,12,1,-,-,-,-,-,-,-,-,-,-,-,-
BJ,Summer,Non-event,Chainlike,1,1,-,12,-,-,-,-,1,-,-,-,-,-,-,-,-
BJ,Summer,Non-event,Irregular,1,17,12,11,2,-,-,-,1,-,-,-,-,-,-,-,1
BJ,Winter,Event,Spherical,0.4,3.2,4.8,2.4,-,-,0.8,-,-,-,-,1.6,-,0.4,-,-,-
BJ,Winter,Event,Cluster,2,4,0.4,-,2,-,0.4,-,-,-,0.8,-,-,-,-,-,-
BJ,Winter,Event,Chainlike,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-,-
BJ,Winter,Event,Irregular,4.8,34.8,12,8.8,9.2,-,0.4,0.8,1.2,-,0.8,1.2,-,0.8,0.4,0.8,-
BJ,Winter,Non-event,Spherical,6,6,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
BJ,Winter,Non-event,Cluster,4,8,-,-,-,-,-,-,4,-,2,-,-,-,-,2,-
BJ,Winter,Non-event,Irregular,6,50,-,-,-,-,-,-,8,-,2,-,-,-,-,-,-
SS,Summer,Event,Spherical,-,0.67,8.67,1.33,0.67,-,-,-,-,-,-,2,-,-,-,-,-
SS,Summer,Event,Cluster,21.33,2.67,0.67,18.67,-,-,-,-,0.67,-,-,1.33,-,-,-,-,-
SS,Summer,Event,Chainlike,0.67,-,-,1.33,-,-,-,-,0.67,-,-,-,-,-,-,-,-
SS,Summer,Event,Irregular,2,7.33,5.33,12,9.33,-,-,-,0.67,0.67,-,1.33,-,-,-,-,-
SS,Summer,Non-event,Spherical,-,1,1,1,5,-,-,-,-,-,-,1,-,-,-,-,-
SS,Summer,Non-event,Cluster,8,7,2,18,-,-,-,-,6,-,1,-,-,-,-,-,1
SS,Summer,Non-event,Chainlike,2,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
SS,Summer,Non-event,Irregular,3,6,3,15,6,-,-,-,5,-,-,-,-,-,-,-,2
SS,Winter,Event,Spherical,2.4,3.2,8.8,2.4,2.8,-,-,-,-,-,-,2.8,-,-,-,-,-
SS,Winter,Event,Cluster,7.2,0.8,0.8,6,1.6,-,-,-,-,-,-,1.2,-,-,0.4,-,-
SS,Winter,Event,Chainlike,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SS,Winter,Event,Irregular,10,8.4,7.6,20.4,7.6,-,-,-,0.4,-,0.4,2,-,2,-,0.4,-
SS,Winter,Non-event,Spherical,4,12,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
SS,Winter,Non-event,Cluster,20,4,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-
SS,Winter,Non-event,Irregular,10,16,2,16,2,-,-,-,4,-,-,-,-,-,4,-,-
SE,Summer,Event,Spherical,0.5,3.5,8,1,0.5,-,-,-,-,-,-,1,-,-,-,-,-
SE,Summer,Event,Cluster,9,2,2.5,23,0.5,-,-,-,0.5,-,-,-,-,-,1,-,-
SE,Summer,Event,Chainlike,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
SE,Summer,Event,Irregular,1.5,10.5,10,14,5,-,-,-,2.5,-,-,0.5,-,-,-,-,1
SE,Summer,Non-event,Spherical,-,-,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-
SE,Summer,Non-event,Cluster,15,5,3,22,2,-,-,1,2,-,-,-,-,-,-,-,-
SE,Summer,Non-event,Chainlike,1,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
SE,Summer,Non-event,Irregular,1,11,5,17,3,-,-,1,-,-,-,-,-,-,1,-,-
