SEM,Sample,Group,No,Event,Date,PM2.5,OC,EC,WSOC,HULIS-C,SO42-,NO3-,NH4+,CO,O3,SO2,Noy,NO,NO2,NOx,Temp,RH,Levoglucosan
1st,SE_1,SE,1,Non-event,2020-12-15,12.261,4.34,0.41,1.07,1.02,1.02,1.01,0.55,255.38,20.7,1.08,12.55,2.63,,,-8.3,43,0.00012
1st,SE_8,SE,8,Event,2020-12-22,40.783,6.74,0.49,2.12,2,3.18,13.83,5.91,469.22,12.6,1.39,41.52,14.33,,,2,67.6,0.0001232
1st,SE_9,SE,9,Event,2020-12-23,61.261,9.48,0.5,4.66,3.29,5.13,22.46,9.67,518.12,17.52,1.26,48.2,7.55,,,4.5,76.6,0.0001299
1st,SE_12,SE,12,Event,2020-12-26,45.391,7.07,0.52,4.36,3.25,3.27,14.99,6.26,511.28,19.32,1.49,22.97,10.36,,,2.2,65.8,0.0001461
1st,SE_13,SE,13,Event,2020-12-27,40.435,6.17,0.3,3.94,3.03,3.17,11.15,5.13,403.49,13.24,0.39,17.04,5.19,,,5.8,62.9,0.0001182
1st,SE_30,SE,30,Event,2021-01-13,39.391,8.52,0.87,5.35,3.22,2.91,7.55,2.95,471.96,10.94,0.97,29.55,8.38,,,2,80.3,0.0001578
1st,SS_1,SS,1,Non-event,2020-12-15,13.217,2.76,0.26,1.33,1.27,1.59,1.81,0.91,290.08,29.56,1.72,8.46,2.63,,,-4,56.3,0.097492
1st,SS_8,SS,8,Event,2020-12-22,55.13,11.7,0.53,5.64,4.81,4.75,5.42,3,522.41,20.9,1.42,27.75,4.28,,,1,75.3,0.613714
1st,SS_9,SS,9,Event,2020-12-23,58.609,8.55,0.35,4.82,4.19,4.7,18.35,7.72,521.43,40.57,1.66,18.5,1.51,,,4.2,84.4,0.18776
1st,SS_12,SS,12,Event,2020-12-26,47.739,9.74,0.54,5.69,4.5,2.9,11.04,4.84,584.68,26.5,2.02,20.51,1.75,,,2.2,77.1,0.561886
1st,SS_13,SS,13,Event,2020-12-27,32.478,7.09,0.42,4.54,2.88,2.53,6.01,2.98,462.64,27.05,1.46,14.77,2.97,,,4.3,75.3,0.389547
1st,SS_30,SS,30,Event,2021-01-13,44.043,8.86,0.71,3.42,2.72,2.44,6.02,2.69,548.18,25.45,1.36,27.08,9.53,,,1,84.9,0.272683
1st,UT_2,UT,2,Event,2020-12-16,155.391,73.334,1.293,16.52,7.68,13.811,5.035,8.96,2723.633,,111.561,,103.108,,225.128,-20.2391,64.087,2.35
1st,UT_7,UT,7,Event,2020-12-21,149,78.61,1.262,18.39,8.54,13.232,5.392,9.285,2663.448,,123.693,,120.158,,254.21,-17.4696,62.087,2.81
1st,UT_8,UT,8,Event,2020-12-22,46.913,22.566,1.445,5.17,2.46,5.573,2.481,3.381,1067.187,,54.758,,67.717,,160.537,-14.2217,66.6957,0.75
1st,UT_9,UT,9,Event,2020-12-23,70.652,43.475,1.09,8.78,3.57,6.636,1.313,4.255,1560.063,,54.831,,53.47,,134.914,-20.7913,64.2609,1.64
1st,UT_12,UT,12,Event,2020-12-26,115.609,51.214,1.205,12.2,4.66,9.302,3.744,6.185,2114.46,,91.563,,83.47,,189.895,-16.9261,65.7826,1.63
1st,UT_13,UT,13,Non-event,2020-12-27,37.928,11.706,0.641,1.63,1.17,2.736,0.798,1.087,506.045,,28.523,,20.613,,68.58,-21.013,58.3913,0.34
1st,UT_15,UT,15,Non-event,2020-12-29,30.312,13.595,0.959,2.69,0.35,2.757,0.651,1.312,663.233,,23.608,,23.125,,71.013,-26.8696,60.2174,0.44
1st,UT_22,UT,22,Non-event,2021-01-05,31.174,17.369,4.851,2.4,0.59,3.675,0.555,0.853,246.847,,17.809,,12.204,,39.564,-28.9652,54.6957,0.44
1st,UT_30,UT,30,Event,2021-01-13,63.565,31.624,1.018,8.31,4.18,7.188,2.632,4.046,1198.664,,55.885,,53.346,,134.788,-23.0087,63.1304,1.21
1st,BJ_1,BJ,1,Non-event,2020-12-15,16.959,4,0.2,1.62,1.44,1.83,2.77,2.02,,18.21,1.19,,1.99,10.53,12.52,-5.2442,24.00545,0.05198
1st,BJ_8,BJ,8,Event,2020-12-22,58.802,9.85,0.45,4.41,3.44,3.98,13.52,7.21,737.27,8.11,2.08,,13.75,29.38,43.14,0.2563,37.96965,0.19904
1st,BJ_9,BJ,9,Event,2020-12-23,24.456,3.24,0.32,1.92,1.85,1.24,0.81,0.91,261.06,27.36,0.53,,0.71,6.28,6.98,0.452,20.462,0.0298
1st,BJ_12,BJ,12,Event,2020-12-26,55.563,11.54,0.52,4.91,4.2,4.07,13.48,7.39,1096.93,3.65,1.88,,15.3,29.9,45.2,-2.0354,51.7412,0.27847
1st,BJ_13,BJ,13,Event,2020-12-27,74.245,13.56,0.59,6.56,4.99,5.92,19.7,9.61,1029.44,3.63,2,,15.36,32.1,47.46,0.4876,48.8601,0.28101
1st,BJ_30,BJ,30,Event,2021-01-13,57.354,6.15,0.28,3.37,1.76,3.34,5.16,3.33,550.43,21.33,0.6,,0.61,12.55,13.16,1.9748,41.2078,0.08752
1st,NT_1,NT,1,Non-event,2020-12-15,1.8,0.18,0.02,,,0.91,0.04,0.14,151.33,31.58,0.16,0.42,0.03,0.16,0.19,4.15,,0.0035544
1st,NT_8,NT,8,Non-event,2020-12-22,1.3,0.64,0.06,0.3,0.1,1.85,0.14,0.35,165.74,40.88,0.14,1.11,0.03,0.61,0.64,10.2,,0.0044938
1st,NT_9,NT,9,Event,2020-12-23,5.5,1.19,0.15,1.08,0.45,4.8,0.81,1.23,184.97,41.08,0.3,2.17,0.04,0.99,1.03,12.75,,0.0148172
1st,NT_12,NT,12,Event,2020-12-26,2.6,0.53,0.04,0.24,0.23,2.75,0.16,0.41,188.49,31.07,0.05,0.88,0.03,0.36,0.39,8.65,,0.0099087
1st,NT_13,NT,13,Event,2020-12-27,4.1,0.96,0.09,0.8,0.35,4.52,0.31,0.85,195.53,33.84,0.1,1.22,0.03,0.41,0.44,11.45,,0.0136994
1st,NT_14,NT,14,Event,2020-12-28,4.8,0.92,0.23,0.71,0.43,4.4,0.23,0.85,228.32,36.74,0.13,1.18,0.02,0.25,0.27,12.3,,0.0073653
2nd,BJ_2,BJ,2,Non-event,2021-06-02,16.68208333,2.65,0.33,1.46,0.7,,,,183.8,29.24958333,0.192,,0.799166667,7.817083333,8.61625,21.725,25.91666667,7.09
2nd,BJ_4,BJ,4,Non-event,2021-06-04,6.706666667,3.17,0.56,1.45,0.6,,,,181.7208333,23.75875,0.222222222,,1.507083333,11.93625,13.44208333,24.29166667,22,6.79
2nd,BJ_12,BJ,12,Event,2021-06-12,54.49083333,8.3,0.43,6.31,4.04,8.84814625,6.006195333,3.86414125,668.7375,67.25,0.396470588,,1.355416667,23.29541667,24.65041667,29.62916667,41.25,1.13
2nd,BJ_13,BJ,13,Event,2021-06-13,72.86166667,6.11,0.32,4.93,2.86,5.95937375,7.0757925,1.936769739,676.4333333,65.09875,0.16952381,,0.121666667,13.12,13.23833333,26.93333333,62.08333333,12.67
2nd,BJ_24,BJ,24,Event,2021-06-24,58.38291667,5.55,0.22,4.3,2.61,3.9428625,14.44160875,5.324884583,433.15,33.135,0.179090909,,0.503636364,12.82583333,13.22954545,22.20347083,75.77239583,21.94
2nd,BJ_28,BJ,28,Event,2021-06-28,72.76208333,4.63,0.31,3.63,2.23,4.152468333,6.460009583,1.3019743,603.0541667,57.47125,0.171666667,,0.2,8.4125,8.61375,27.16220417,68.47635417,9.19
2nd,NT_1,NT,1,Non-event,2021-06-01,,1.12,0.09,0.61,0.18,2.206896552,0.093965517,0.385172414,119.345874,32.85492945,0.208333333,0.865135359,0.034827552,,0.493344863,,,8.242
2nd,NT_4,NT,4,Non-event,2021-06-04,8.508695652,0.87,0.01,0.79,0.21,1.176551724,0.068103448,0.231724138,142.9705127,44.80296673,0.317391304,0.729466603,0.019225113,,0.425200464,,,0.976
2nd,NT_6,NT,6,Event,2021-06-06,25.15833333,3,0.16,1.86,1.24,6.513389831,0.676949153,1.39220339,211.8058467,44.60458599,0.2125,2.277466831,0.055620095,,1.083861496,,,4.268
2nd,NT_8,NT,8,Event,2021-06-08,25.875,2.39,0.14,1.7,0.99,9.981694915,0.928474576,2.051864407,185.4843438,46.61290731,0.241666667,2.07572057,0.028959258,,0.824585143,,,13.961
2nd,NT_9,NT,9,Event,2021-06-09,25.35416667,1.58,0.12,1.19,0.57,10.56694915,0.834237288,2.118305085,203.1715114,49.39415895,0.247826087,1.550356764,0.018907055,,0.415516155,,,0.945
2nd,SS_5,SS,5,Event,2021-06-05,43.91304348,5.73,0.24,4.63,4.13,7.454736842,11.63894737,6.59,503.2478261,91.69130435,1.508695652,10.17391304,0.304347826,,,,,14.84
2nd,SS_16,SS,16,Non-event,2021-06-16,4.913043478,2.98,0.16,2.09,1.07,0.928695652,0.327391304,0.327826087,327.0217391,42.5173913,0.995652174,6.139130435,2.673913043,,,,,10.26
2nd,SS_17,SS,17,Non-event,2021-06-17,6.565217391,1.61,0.13,1.25,0.65,1.0665,2.3055,1.357,324.9304348,45.56521739,0.991304348,3.495652174,1.108695652,,,,,10.76
2nd,SS_20,SS,20,Event,2021-06-20,48.91304348,4.63,0.2,4.01,2.03,9.470869565,15.25173913,9.129565217,539.9,81.36086957,1.67826087,11.35217391,0.613043478,,,,,27.82
2nd,SS_28,SS,28,Event,2021-06-28,40.69565217,6.63,0.21,5.61,2.82,6.64826087,11.44,6.603913043,553.0826087,56.92173913,2.143478261,15.33478261,1.708695652,,,,,16.67
2nd,SE_5,SE,5,Event,2021-06-05,46.83333333,6.85,0.39,4.23,2.54,10.27208333,12.48708125,8.041714583,372.4507944,71.99439965,1.333986026,13.31698333,1.067601833,,,,,12.18
2nd,SE_14,SE,14,Event,2021-06-14,42.20833333,9.04,0.42,5.71,3.66,5.3783875,12.68326042,6.03449375,338.6282743,49.34547563,2.084335733,27.63015794,2.048541705,,,,,15.77
2nd,SE_16,SE,16,Non-event,2021-06-16,6.041666667,2.08,0.11,1.06,0.66,0.714951786,0.085650893,0.198227679,115.2323435,36.97283465,0.68164243,4.964583403,0.766810462,,,,,1.6
2nd,SE_20,SE,20,Event,2021-06-20,50.70833333,6.2,0.32,3.78,1.96,11.07012083,16.85311458,9.798327083,330.2587917,72.86331035,1.367512654,13.89665968,0.456681533,,,,,12.29
2nd,SE_24,SE,24,Event,2021-06-24,38.20833333,5.02,0.33,3.5,2.18,7.835079167,9.230614583,6.009252083,338.0946813,43.10752167,1.481456472,17.98697955,1.816651092,,,,,9.51
2nd,SE_27,SE,27,Non-event,2021-06-27,14.08333333,3.24,0.14,2.46,1.58,3.561075,0.63199375,1.426439583,201.5153514,45.43320301,0.648781773,7.309623236,1.190996678,,,,,5.61
2nd,UT_1,UT,1,Non-event,2021-06-01,,9.953,1.954,2.93,0.77,2.445,0.61,0.567,0.36775,,4.291666667,,18.58333333,31.5,59.60869565,6.283333333,46.41666667,
