point_id,Morphology,Size,Class,Type,Detail,Type2,Group,Year,Month,Day,Date,Event
1,Irregular,1.32,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
2,Spherical,0.958,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
3,Irregular,0.548,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
4,Irregular,1.59,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
5,Irregular,,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
6,Spherical,2.05,2,Fly ash,,Others,UT,2021,6,24,2021-06-24,Event
7,Cluster,1.2,2,N-rich,,N-rich,UT,2021,6,24,2021-06-24,Event
8,Cluster,3.65,3,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
9,Cluster,2.13,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
10,Cluster,1.56,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
11,Irregular,1.99,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
12,Irregular,0.641,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
13,Irregular,1.64,2,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
14,Cluster,3.14,3,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
15,Cluster,1.42,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
16,Irregular,0.81,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
17,Irregular,1.53,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
18,Irregular,1.48,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
19,Irregular,2.5,3,Fly ash,,Others,UT,2021,6,24,2021-06-24,Event
20,Spherical,0.776,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
21,Irregular,0.889,1,Rare earth metal,,Others,UT,2021,6,24,2021-06-24,Event
22,Spherical,0.737,1,Carbonaceous,Mineral,Carbonaceous,UT,2021,6,24,2021-06-24,Event
23,Cluster,2.04,2,Carbonaceous,Mineral,Carbonaceous,UT,2021,6,24,2021-06-24,Event
24,Irregular,1.04,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
25,Cluster,0.775,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
26,Spherical,1.66,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
27,Spherical,1.28,2,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
28,Irregular,2.4,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
29,Cluster,2.27,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
30,Cluster,1.38,2,Carbonaceous,Mineral,Carbonaceous,UT,2021,6,24,2021-06-24,Event
31,Cluster,2.61,3,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
32,Irregular,1.06,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
33,Spherical,1.47,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
34,Cluster,1.23,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
35,Irregular,1.14,2,Transition metal,,Transition metal,UT,2021,6,24,2021-06-24,Event
36,Spherical,0.448,1,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
37,Cluster,3.25,3,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
38,Cluster,2.05,2,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
39,Cluster,0.885,1,Carbonaceous,Mineral,Carbonaceous,UT,2021,6,24,2021-06-24,Event
40,Cluster,0.709,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
41,Irregular,0.668,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
42,Cluster,1.61,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
43,Cluster,1.06,2,Transition metal,,Transition metal,UT,2021,6,24,2021-06-24,Event
44,Spherical,0.896,1,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
45,Irregular,1.82,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
46,Spherical,1.32,2,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
47,Irregular,1.8,2,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
48,Spherical,1.19,2,Mineral,,Mineral,UT,2021,6,24,2021-06-24,Event
49,Irregular,2.7,3,Fe-rich,,Fe-rich,UT,2021,6,24,2021-06-24,Event
50,Spherical,0.736,1,S-rich,,Others,UT,2021,6,24,2021-06-24,Event
1,Spherical,0.572,1,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
2,Irregular,1.36,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
3,Irregular,1.84,2,Transition metal,,Transition metal,UT,2021,6,1,2021-06-01,Non-event
4,Cluster,4.3,3,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
5,Spherical,2.16,2,Carbonaceous,Flourine compound,Carbonaceous,UT,2021,6,1,2021-06-01,Non-event
6,Irregular,1.8,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
7,Cluster,4.28,3,Calcium Sulfate,,Others,UT,2021,6,1,2021-06-01,Non-event
8,Cluster,2.11,2,N-rich,,N-rich,UT,2021,6,1,2021-06-01,Non-event
9,Chainlike,2.5,3,Carbonaceous,Mineral,Carbonaceous,UT,2021,6,1,2021-06-01,Non-event
10,Spherical,3.49,3,Fly ash,,Others,UT,2021,6,1,2021-06-01,Non-event
11,Spherical,2.58,3,Fly ash,,Others,UT,2021,6,1,2021-06-01,Non-event
12,Irregular,1.75,2,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
13,Cluster,2.45,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
14,Irregular,1.06,2,Calcium Sulfate,,Others,UT,2021,6,1,2021-06-01,Non-event
15,Irregular,1.77,2,Fe-rich,,Fe-rich,UT,2021,6,1,2021-06-01,Non-event
16,Cluster,2.02,2,Fe-rich,,Fe-rich,UT,2021,6,1,2021-06-01,Non-event
17,Irregular,2.99,3,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
18,Cluster,2.76,3,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
19,Irregular,3.12,3,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
20,Cluster,1.73,2,Carbonaceous,N-rich,Carbonaceous,UT,2021,6,1,2021-06-01,Non-event
21,Cluster,2.24,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
22,Cluster,1.56,2,Transition metal,,Transition metal,UT,2021,6,1,2021-06-01,Non-event
23,Spherical,1.13,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
24,Cluster,2.98,3,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
25,Irregular,1.13,2,N-rich,,N-rich,UT,2021,6,1,2021-06-01,Non-event
26,Irregular,1.96,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
27,Cluster,2.23,2,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
28,Irregular,1.59,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
29,Cluster,2.86,3,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
30,Cluster,2.12,2,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
31,Irregular,1.29,2,Calcium Sulfate,,Others,UT,2021,6,1,2021-06-01,Non-event
32,Irregular,0.874,1,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
33,Irregular,1.4,2,Fe-rich,,Fe-rich,UT,2021,6,1,2021-06-01,Non-event
34,Irregular,1.97,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
35,Spherical,1.08,2,Fly ash,,Others,UT,2021,6,1,2021-06-01,Non-event
36,Irregular,1.57,2,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
37,Cluster,2.23,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
38,Cluster,1.2,2,Carbonaceous,Mineral,Carbonaceous,UT,2021,6,1,2021-06-01,Non-event
39,Irregular,1.88,2,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
40,Spherical,1.52,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
41,Cluster,2.89,3,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
42,Spherical,1.64,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
43,Cluster,2.46,2,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
44,Spherical,2.75,3,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
45,Spherical,1.17,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
46,Irregular,3.62,3,Flourine compound,,Others,UT,2021,6,1,2021-06-01,Non-event
47,Irregular,2.24,2,Transition metal,,Transition metal,UT,2021,6,1,2021-06-01,Non-event
48,Spherical,1.59,2,Mineral,,Mineral,UT,2021,6,1,2021-06-01,Non-event
49,Spherical,1.54,2,Fe-rich,,Fe-rich,UT,2021,6,1,2021-06-01,Non-event
50,Spherical,1.14,2,Fe-rich,,Fe-rich,UT,2021,6,1,2021-06-01,Non-event
1,Irregular,1.66,2,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
2,Spherical,0.971,1,Fe-rich,,Fe-rich,UT,2021,6,7,2021-06-07,Non-event
3,Cluster,2.82,3,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
4,Irregular,1.1,2,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
5,Cluster,3.91,3,Carbonaceous,,Carbonaceous,UT,2021,6,7,2021-06-07,Non-event
6,Cluster,3.41,3,Carbonaceous,,Carbonaceous,UT,2021,6,7,2021-06-07,Non-event
7,Cluster,4.04,3,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
8,Cluster,1.27,2,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
9,Cluster,2.14,2,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
10,Irregular,1.51,2,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
11,Cluster,3.03,3,Calcium Sulfate,,Others,UT,2021,6,7,2021-06-07,Non-event
12,Cluster,0.818,1,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
13,Cluster,3.09,3,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
14,Spherical,1.68,2,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
15,Irregular,1.39,2,Ca-rich,,Others,UT,2021,6,7,2021-06-07,Non-event
16,Spherical,0.667,1,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
17,Cluster,1.12,2,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
18,Spherical,1.85,2,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
19,Cluster,3.14,3,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
20,Cluster,1.33,2,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
21,Cluster,3.14,3,Carbonaceous,,Carbonaceous,UT,2021,6,7,2021-06-07,Non-event
22,Cluster,2.46,2,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
23,Irregular,3.63,3,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
24,Irregular,4.05,3,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
25,Cluster,2.35,2,Fe-rich,,Fe-rich,UT,2021,6,7,2021-06-07,Non-event
26,Spherical,0.989,1,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
27,Irregular,2.85,3,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
28,Cluster,3.12,3,N-rich,,N-rich,UT,2021,6,7,2021-06-07,Non-event
29,Irregular,2.18,2,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
30,Irregular,1.29,2,Ca-rich,,Others,UT,2021,6,7,2021-06-07,Non-event
31,Spherical,2.78,3,Flourine compound,,Others,UT,2021,6,7,2021-06-07,Non-event
32,Cluster,3.08,3,Carbonaceous,,Carbonaceous,UT,2021,6,7,2021-06-07,Non-event
33,Irregular,0.732,1,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
34,Irregular,3,3,Flourine compound,,Others,UT,2021,6,7,2021-06-07,Non-event
35,Irregular,2.5,3,Mineral,,Mineral,UT,2021,6,7,2021-06-07,Non-event
36,Irregular,0.743,1,Calcium Sulfate,,Others,UT,2021,6,7,2021-06-07,Non-event
